Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s2-brdr1,Ethernet2,10.255.1.149/31,spine,s2-spine1,Ethernet7,10.255.1.148/31
l3leaf,s2-brdr1,Ethernet3,10.255.1.151/31,spine,s2-spine2,Ethernet7,10.255.1.150/31
l3leaf,s2-brdr2,Ethernet2,10.255.1.157/31,spine,s2-spine1,Ethernet8,10.255.1.156/31
l3leaf,s2-brdr2,Ethernet3,10.255.1.159/31,spine,s2-spine2,Ethernet8,10.255.1.158/31
l3leaf,s2-leaf1,Ethernet2,10.255.1.197/31,spine,s2-spine1,Ethernet2,10.255.1.196/31
l3leaf,s2-leaf1,Ethernet3,10.255.1.199/31,spine,s2-spine2,Ethernet2,10.255.1.198/31
l3leaf,s2-leaf2,Ethernet2,10.255.1.205/31,spine,s2-spine1,Ethernet3,10.255.1.204/31
l3leaf,s2-leaf2,Ethernet3,10.255.1.207/31,spine,s2-spine2,Ethernet3,10.255.1.206/31
